id,eml_date,eml_path
0,03/1998,bruce/1998/03/891285044.11747.txt
1,03/1998,bruce/1998/03/891219215.5425.txt
2,03/1998,bruce/1998/03/890929566.24884.txt
3,03/1998,bruce/1998/03/890929485.24869.txt
4,03/1998,bruce/1998/03/891275675.11190.txt
5,03/1998,bruce/1998/03/890929562.24883.txt
6,03/1998,bruce/1998/03/891219203.5423.txt
7,03/1998,bruce/1998/03/891002827.28090.txt
8,03/1998,bruce/1998/03/891219148.5406.txt
9,03/1998,bruce/1998/03/891184729.10913.txt
10,03/1998,bruce/1998/03/891219144.5405.txt
11,03/1998,bruce/1998/03/890929479.24867.txt
12,03/1998,bruce/1998/03/891219139.5404.txt
13,03/1998,bruce/1998/03/891219156.5408.txt
14,03/1998,bruce/1998/03/891020038.3226.txt
15,03/1998,bruce/1998/03/891219128.5403.txt
16,03/1998,bruce/1998/03/891285049.11748.txt
17,03/1998,bruce/1998/03/890929489.24870.txt
18,03/1998,bruce/1998/03/891275686.11191.txt
19,03/1998,bruce/1998/03/891020025.3222.txt
20,03/1998,bruce/1998/03/890956849.27937.txt
21,03/1998,bruce/1998/03/890929468.24864.txt
22,03/1998,bruce/1998/03/891272355.532.txt
23,03/1998,bruce/1998/03/890929572.24886.txt
24,03/1998,bruce/1998/03/891020045.3228.txt
25,03/1998,bruce/1998/03/890929475.24866.txt
26,03/1998,bruce/1998/03/891219210.5424.txt
27,03/1998,bruce/1998/03/891020032.3224.txt
28,03/1998,bruce/1998/03/891020042.3227.txt
29,03/1998,bruce/1998/03/890929569.24885.txt
30,03/1998,bruce/1998/03/890929482.24868.txt
31,03/1998,bruce/1998/03/891020035.3225.txt
32,03/1998,bruce/1998/03/890929492.24871.txt
33,03/1998,bruce/1998/03/891219236.5426.txt
34,03/1998,bruce/1998/03/891020028.3223.txt
35,03/1998,bruce/1998/03/890929496.24872.txt
36,03/1998,bruce/1998/03/891219152.5407.txt
37,03/1998,bruce/1998/03/890929472.24865.txt
38,03/1998,bruce/1998/03/890929499.24873.txt
39,03/1998,bruce/1998/03/891285044.11747.txt
40,03/1998,bruce/1998/03/891219215.5425.txt
41,03/1998,bruce/1998/03/890929566.24884.txt
42,03/1998,bruce/1998/03/890929485.24869.txt
43,03/1998,bruce/1998/03/891275675.11190.txt
44,03/1998,bruce/1998/03/890929562.24883.txt
45,03/1998,bruce/1998/03/891219203.5423.txt
46,03/1998,bruce/1998/03/891002827.28090.txt
47,03/1998,bruce/1998/03/891219148.5406.txt
48,03/1998,bruce/1998/03/891184729.10913.txt
49,03/1998,bruce/1998/03/891219144.5405.txt
50,03/1998,bruce/1998/03/890929479.24867.txt
51,03/1998,bruce/1998/03/891219139.5404.txt
52,03/1998,bruce/1998/03/891219156.5408.txt
53,03/1998,bruce/1998/03/891020038.3226.txt
54,03/1998,bruce/1998/03/891219128.5403.txt
55,03/1998,bruce/1998/03/891285049.11748.txt
56,03/1998,bruce/1998/03/890929489.24870.txt
57,03/1998,bruce/1998/03/891275686.11191.txt
58,03/1998,bruce/1998/03/891020025.3222.txt
59,03/1998,bruce/1998/03/890956849.27937.txt
60,03/1998,bruce/1998/03/890929468.24864.txt
61,03/1998,bruce/1998/03/891272355.532.txt
62,03/1998,bruce/1998/03/890929572.24886.txt
63,03/1998,bruce/1998/03/891020045.3228.txt
64,03/1998,bruce/1998/03/890929475.24866.txt
65,03/1998,bruce/1998/03/891219210.5424.txt
66,03/1998,bruce/1998/03/891020032.3224.txt
67,03/1998,bruce/1998/03/891020042.3227.txt
68,03/1998,bruce/1998/03/890929569.24885.txt
69,03/1998,bruce/1998/03/890929482.24868.txt
70,03/1998,bruce/1998/03/891020035.3225.txt
71,03/1998,bruce/1998/03/890929492.24871.txt
72,03/1998,bruce/1998/03/891219236.5426.txt
73,03/1998,bruce/1998/03/891020028.3223.txt
74,03/1998,bruce/1998/03/890929496.24872.txt
75,03/1998,bruce/1998/03/891219152.5407.txt
76,03/1998,bruce/1998/03/890929472.24865.txt
77,03/1998,bruce/1998/03/890929499.24873.txt
78,03/1998,bruce/1998/03/891285044.11747.txt
79,03/1998,bruce/1998/03/891219215.5425.txt
80,03/1998,bruce/1998/03/890929566.24884.txt
81,03/1998,bruce/1998/03/890929485.24869.txt
82,03/1998,bruce/1998/03/891275675.11190.txt
83,03/1998,bruce/1998/03/890929562.24883.txt
84,03/1998,bruce/1998/03/891219203.5423.txt
85,03/1998,bruce/1998/03/891002827.28090.txt
86,03/1998,bruce/1998/03/891219148.5406.txt
87,03/1998,bruce/1998/03/891184729.10913.txt
88,03/1998,bruce/1998/03/891219144.5405.txt
89,03/1998,bruce/1998/03/890929479.24867.txt
90,03/1998,bruce/1998/03/891219139.5404.txt
91,03/1998,bruce/1998/03/891219156.5408.txt
92,03/1998,bruce/1998/03/891020038.3226.txt
93,03/1998,bruce/1998/03/891219128.5403.txt
94,03/1998,bruce/1998/03/891285049.11748.txt
95,03/1998,bruce/1998/03/890929489.24870.txt
96,03/1998,bruce/1998/03/891275686.11191.txt
97,03/1998,bruce/1998/03/891020025.3222.txt
98,03/1998,bruce/1998/03/890956849.27937.txt
99,03/1998,bruce/1998/03/890929468.24864.txt
100,03/1998,bruce/1998/03/891272355.532.txt
101,03/1998,bruce/1998/03/890929572.24886.txt
102,03/1998,bruce/1998/03/891020045.3228.txt
103,03/1998,bruce/1998/03/890929475.24866.txt
104,03/1998,bruce/1998/03/891219210.5424.txt
105,03/1998,bruce/1998/03/891020032.3224.txt
106,03/1998,bruce/1998/03/891020042.3227.txt
107,03/1998,bruce/1998/03/890929569.24885.txt
108,03/1998,bruce/1998/03/890929482.24868.txt
109,03/1998,bruce/1998/03/891020035.3225.txt
110,03/1998,bruce/1998/03/890929492.24871.txt
111,03/1998,bruce/1998/03/891219236.5426.txt
112,03/1998,bruce/1998/03/891020028.3223.txt
113,03/1998,bruce/1998/03/890929496.24872.txt
114,03/1998,bruce/1998/03/891219152.5407.txt
115,03/1998,bruce/1998/03/890929472.24865.txt
116,03/1998,bruce/1998/03/890929499.24873.txt
