MM/YYYY,affinity,agent,arrangement,association,auditory_communication,biological_group,body_of_water,business_relation,catalyst,catch,change,character,charm,circuit,citizenry,cognition,collection,commemorative,community,comparison,connection,control,curio,danger,decrease,definite_quantity,degeneration,depth,destiny,development,discard,display,document,domain,draw,economic_process,edition,engine,event,execution,expressive_style,field,film,finding,floater,fluid,foundation,function,fundamental_quantity,geological_formation,group,growth,head,human_process,ice,increase,indefinite_quantity,indication,inheritance,interrelation,intersection,interval,keepsake,kingdom,land,language,linguistic_relation,location,logical_relation,magnetization,magnitude_relation,mathematical_relation,message,moon,motivation,multitude,natural_process,nature,necessity,neighbor,operation,operator,opposition,organic_process,ownership,part,people,person,personality,phenomenon,photography,point,population,position,possession,power,probability,processing,proof,property,psychic_communication,publication,quality,quantum,race,radical,reciprocality,relationship,relative_quantity,remains,reservoir,residue,ribbon,sediment,series,shape,sign,signal,snake,social_group,social_relation,solid,solution,space,state,stuff,subject,substance,system,system_of_measurement,thing,time,time_interval,time_unit,trait,unit,value,variable,variation,vegetable_matter,visual_communication,vital_principle,voice,volume,wall,whole,world,written_communication
1998/03,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,15,6,0,0,3,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,3,0,0,0,0,15,0,15,0,0,0,0,3,6,12,0,0,0,0,0,0,0,0,3,12,0,0,3,0,15,0,0,3,3,0,3,0,3,0,0,3,0,12,15,12,0,3,0,3,0,3,12,3,0,3,0,9,0,9,12,0,0,0,0,0,6,0,0,0,0,0,3,3,6,3,0,12,0,0,3,3,15,3,0,6,9,6,6,3,3,6,0,0,3,0,0,0,0,0,3,0,0,15,0,12
1998/04,0,0,3,0,12,0,0,0,0,0,3,0,0,0,0,12,6,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,18,0,6,0,0,0,0,0,0,0,12,0,18,0,3,0,0,0,9,6,0,0,0,0,0,0,0,0,0,12,0,0,6,0,18,0,6,6,3,0,0,0,3,0,0,0,0,12,15,15,0,3,0,9,0,6,12,3,0,0,0,15,0,9,12,0,0,0,0,3,6,0,0,0,0,0,6,0,3,0,0,15,0,6,0,3,12,0,0,9,9,3,9,6,0,9,0,9,6,0,0,0,3,0,0,0,0,18,0,12
1998/05,0,3,3,3,12,0,0,3,0,0,12,3,0,0,0,27,9,0,0,0,6,0,0,3,0,15,0,0,0,0,0,0,21,0,0,0,0,0,42,0,3,0,0,0,0,9,0,0,24,3,36,3,0,0,0,3,9,21,0,0,0,0,0,0,6,0,3,30,0,0,0,0,36,0,0,9,0,0,6,0,3,0,0,3,0,27,30,27,3,6,0,18,0,15,21,0,0,3,0,18,0,9,18,0,0,0,0,0,9,0,0,0,0,0,0,9,9,6,0,21,0,3,0,3,27,3,0,21,12,12,15,6,0,6,0,9,6,0,0,0,3,0,3,0,0,30,6,27
1998/06,0,0,3,3,12,0,6,6,0,0,12,6,0,0,0,27,9,0,0,0,6,0,0,6,0,24,0,0,0,3,0,6,21,0,0,0,0,0,36,0,3,0,0,0,0,6,0,0,12,3,36,0,0,0,0,3,9,15,0,0,0,0,0,0,0,0,0,33,0,0,0,0,36,0,3,9,0,0,12,0,3,0,0,3,0,21,27,27,0,6,0,12,3,18,21,0,0,6,3,15,0,6,18,0,3,0,0,0,3,0,0,0,0,0,3,9,0,9,0,18,0,6,0,0,30,0,0,15,18,3,24,9,3,9,0,12,3,0,0,0,15,0,0,0,0,36,3,33
1998/07,0,0,3,0,9,0,0,0,0,3,18,0,0,0,0,33,9,0,0,0,3,0,0,3,0,18,0,0,0,0,0,0,18,0,0,0,0,6,30,0,6,0,0,0,0,0,0,0,15,6,30,6,0,0,0,3,15,18,0,0,0,0,0,0,3,0,0,27,0,0,6,0,30,0,3,6,0,3,6,0,3,0,0,6,0,27,30,33,0,6,0,21,0,18,21,3,0,0,3,21,0,21,9,0,0,0,0,0,6,0,0,0,0,0,3,9,6,6,0,21,0,0,0,0,24,3,0,12,15,3,18,12,3,6,3,3,6,0,0,0,9,0,0,3,3,30,9,24
1998/08,0,6,3,0,21,0,3,6,0,3,15,0,0,0,0,36,12,0,3,0,6,15,0,3,0,15,0,0,0,0,0,0,27,3,0,0,0,3,39,0,0,6,0,0,0,6,0,6,21,3,36,0,3,0,0,12,27,12,0,0,0,0,0,0,3,6,0,39,0,0,9,3,39,0,6,9,3,0,6,0,3,0,3,3,0,36,33,33,0,12,0,21,0,27,33,9,0,3,3,33,0,12,24,0,0,3,0,0,12,3,0,0,0,0,6,6,6,0,0,36,0,0,0,3,39,0,0,27,21,6,21,9,3,6,0,15,9,0,0,0,3,0,0,0,0,39,12,30
1998/09,0,12,3,0,27,0,3,9,0,3,33,3,0,0,0,63,21,0,6,0,9,9,0,21,3,39,0,0,0,3,3,0,51,3,0,0,3,12,72,3,15,24,0,0,0,0,3,0,30,3,60,0,9,0,0,15,36,12,0,0,0,0,0,0,6,3,0,66,0,0,6,0,60,0,3,6,3,3,6,0,12,3,0,0,0,57,54,66,0,15,0,24,0,54,51,6,6,6,3,51,0,33,42,0,0,0,0,0,18,0,0,0,0,0,9,18,0,15,0,51,3,15,0,6,51,0,0,39,30,12,30,33,3,15,3,15,15,0,0,0,15,0,0,6,0,72,9,54
1998/10,0,18,3,0,24,12,0,3,0,0,18,9,0,0,0,24,12,0,0,0,6,9,0,0,0,21,0,0,0,0,0,0,18,3,3,0,0,0,33,0,9,0,0,0,0,3,0,9,15,3,33,3,0,0,0,3,6,18,0,0,0,0,0,0,0,0,0,24,0,0,6,6,33,0,3,12,0,12,3,0,3,0,0,6,0,24,18,24,0,6,0,21,0,12,15,6,0,0,0,15,0,21,24,0,0,0,0,0,0,0,0,0,0,3,0,3,0,15,0,21,0,0,0,0,24,0,0,21,18,6,3,12,3,6,12,3,0,0,0,0,6,0,0,0,0,30,3,27
1998/11,0,3,3,0,15,0,0,3,0,0,12,0,0,0,0,36,9,0,0,0,6,3,0,0,3,18,0,0,3,0,0,0,18,3,0,0,0,0,42,0,6,3,0,0,0,0,0,0,21,3,39,0,9,0,0,3,21,15,0,0,0,0,0,0,0,3,0,18,0,0,3,0,36,0,3,0,3,3,0,0,6,0,0,6,3,36,9,36,0,9,0,9,0,24,24,0,0,3,0,24,0,6,6,0,0,6,0,0,9,0,0,0,0,0,0,6,6,3,0,33,0,3,6,0,30,0,0,21,18,0,21,18,0,9,3,6,3,0,0,0,6,3,0,0,3,42,0,30
1998/12,3,3,0,0,21,0,6,3,0,0,12,3,0,0,0,27,12,0,3,3,9,6,0,6,3,9,0,0,0,0,0,0,18,0,3,0,0,6,36,0,6,6,0,3,0,0,3,0,27,12,27,0,0,0,3,12,15,12,0,0,0,0,0,0,0,0,0,21,0,0,3,0,27,0,6,9,0,3,6,0,6,0,0,0,0,27,15,36,0,12,0,18,0,15,21,6,0,0,3,30,0,12,21,0,0,0,0,0,6,0,0,0,0,0,3,15,0,6,0,24,0,6,0,3,33,0,0,15,18,6,21,6,6,12,3,6,9,0,0,0,0,0,0,0,0,30,9,24
